fos_id,fos_name
21410773,Shoot
88862950,Irrigation
168741863,Sowing
161176658,Pesticide
2780138947,Dry matter
101000010,Canopy
46757340,Poaceae
150668497,Dry weight
2779587293,Straw
128758860,Woody plant
2777612826,Insect
2777904157,Grazing
137660486,Growing season
50660011,Tropics
150772632,Arid
2779370140,Forage
48189365,Hybrid
81461190,Temperate climate
32198211,Greenhouse
2775891814,Weed
2775835988,Grassland
2779429622,Litter
53657456,Peat
2778053677,Pasture
2982966219,Plant growth
141282968,Plant ecology
132215390,Abiotic component
540442320,Pest control
2778157034,Sorghum
2780739461,Compost
2776632002,Legume
24461792,Perennial plant
75639521,Field experiment
118518473,Agriculture
549605437,Food security
128383755,Agricultural productivity
3987366,Livelihood
16397148,Tillage
139496715,Deforestation
2988676352,Rural development
502990516,Agricultural land
156005406,Subsistence agriculture
559400886,Land management
122690726,"Land use, land-use change and forestry"
85675897,Soil management
123963621,Integrated pest management
2779220025,Peasant
13558536,Cropping
137607661,Land tenure
2776475172,Soil quality
183135511,Natural resource management
157140304,Agrarian society
71762439,Arable land
175760724,Crop rotation
189797535,Drought tolerance
109162521,Soil conservation
2989409935,Crop production
54924851,Sustainable agriculture
61968832,Animal husbandry
118817206,Organic farming
2778852317,Agricultural policy
183889291,Crop residue
1670747,Agribusiness
202050865,Hectare
2992211155,Grain yield
2992730755,Agricultural development
51832835,Environmental management system
47136581,Agricultural machinery
112077630,Irrigation management
37923429,Intensive farming
120217122,Precision agriculture
113052830,Land degradation
17616946,Pastoralism
2777178263,Land reform
105462344,Nutrient management
57664001,Agroecosystem
2778452349,Rural poverty
192039558,Biofertilizer
2777481183,Market access
507981020,Agricultural education
207581243,Agrochemical
156663261,Agroecology
2993199473,Plant biochemistry
64476972,Sustainable Agriculture Innovation Network
112939947,Green Revolution
129225989,Cash crop
2778402112,Agricultural extension
2780117336,Farm income
2778691696,Dairy farming
2775898560,Common Agricultural Policy
141005173,Shifting cultivation
2993003885,Land area
27206212,Theology
4445939,Islam
17235551,Self
2775858120,Memoria
128361363,Symbol
74256435,Flood myth
2777617010,Mainstream
2778692574,Faith
150152722,Judaism
521751864,Christian ministry
161487207,Derecho
2776211767,Doctrine
182744844,Metaphysics
551968917,Christianity
2780415144,SAINT
2778738651,Novelty
2776050585,Scrutiny
2779103253,Duty
2778983918,Wife
18296254,Skepticism
133979268,Vision
143128703,Middle Ages
2777239683,Virtue
2780422510,Humanity
2777122596,Praxis
2780822299,Soul
75699723,Buddhism
102523778,Form of the Good
2778052875,Bildung
2780310893,Passion
2777438998,Tribunal
152212766,The Republic
10180917,Conscience
530479602,Opera
2777582232,CONTEST
2781354396,Enthusiasm
543192267,Magic (paranormal)
2779438500,Honor
2778182169,Jako
111021475,Protestantism
159789966,Lingua franca
50379869,Hermeneutics
173853756,Dialog box
164105321,Catalan
32506930,Hegelianism
129454956,Field research
2779829227,Vitality
2776932993,Ethos
2779728303,Pride
2780710533,Governo
169081014,Mysticism
113522999,Fall of man
9992130,Pessimism
2775944640,Utopia
130979935,Ansatz
2776684731,Garcia
91304198,Hebrew
194105502,Biblical studies
2777222677,Worship
2781384534,Gospel
2776527531,Persian
2776405206,Revelation
46610780,Hinduism
2776134716,Sacrifice
27362006,Gestalt psychology
2777477151,Prayer
2780580889,Panorama
128536511,History of religions
2779021329,Destiny
58348228,Auteur theory
2776305542,Problema
2776911728,Courage
2776727279,Heaven
92047909,Hyperbolic function
2781179785,Valencia
83559648,Croatian
2778896172,Manifesto
2781287369,Stuttgart
534701709,Old Testament
180903884,Rationalism
32772713,Charisma
2992637229,Michel foucault
2778802261,Orthodoxy
61783943,Luck
39511330,Logo
186857363,Siege
10869588,Church history
155785087,Natural law
2437467,Perfection
512654426,Public domain
73440236,Psyche
76960060,Umwelt
164663123,Cosmos
2776347870,Passions
9299846,Secularization
22029948,Dice
2777776507,Lexico
558299567,Mass media
155030161,Mass communication
48185193,Media
167275870,Media system dependency theory
55322685,Media conglomerate
2781343547,Media Practice Model
518677369,Social media
74216064,Social computing
101293273,User-generated content
503923677,Social web
156571341,Cyberpsychology
60136833,Social media optimization
2776892586,Brand engagement
2987376390,Electronic word of mouth
2776915394,Customer engagement
2985889538,Social media marketing
16759151,Online presence management
2778838397,Uses and gratifications theory
2778729106,Social media analytics
2987325470,Social commerce
2780564743,Social CRM
2992647939,Consumer engagement
2993555337,Personal branding
178408851,Content marketing
2985692548,Crisis informatics
2777835648,Filter bubble
2993426613,Arabic sentiment analysis
2780695499,Social media mining
2993240939,Online activism
2991870026,Social media network
2780997048,Digital footprint
2988327197,Online harassment
2777257828,Virtual archaeology
2988996608,Online engagement
3018846106,Fear of missing out
2988833398,Social event detection
2993172631,Social news
2778871292,Social television
2988622424,Social multimedia
2780441040,Slacktivism
196690852,Social analytics
2988338654,News sharing
2987800000,Crisis mapping
2779113645,Like button
2984648278,Ambient awareness
2777370179,Social media measurement
2986426982,Social stream
2989393167,Personal learning network
2984029112,Social mining
2993865493,Social data analytics
2778412320,iPhoneography
529147693,News media
167752473,News values
2011517,Broadcast journalism
42211076,Reliable Sources
201280247,Newspaper
167752473,News values
16189245,News bureau
2776585538,Agenda-setting theory
2776973623,Legal deposit
3019217387,Crime news
2779111255,History of journalism
2910250570,Newspapers as Topic
2779546711,Penny press
2776757517,Newspaper digitization
2910534252,Newsclipping
2780756850,News design
2779944825,Headlinese
81959379,Broadcasting
520681616,Digital television
9819579,Tuner
83529365,Broadcast communication network
58911810,Radio broadcasting
41062264,Digital broadcasting
943373,Atomic broadcast
77757571,Multimedia Broadcast Multicast Service
2989465874,Broadcast channels
110157686,Broadcasting (networking)
2779883265,Electronic program guide
556509198,Public broadcasting
2985624630,Broadcasting system
119452085,Commercial broadcasting
2780818791,Teletext
91285054,Broadcast television systems
2994381574,Broadcast system
2778749970,Conditional access
2779106878,Digital audio broadcasting
2987348774,Broadcast data
2994534981,Television channel
2780079832,Digital multimedia broadcasting
2994104004,Broadcast service
2776847985,Single-frequency network
2994466296,Radio program
183384803,Automatic dependent surveillance-broadcast
2011517,Broadcast journalism
2992306869,Satellite television
2779438827,Television station
2993676337,Broadcast transmission
55322685,Media conglomerate
2992481583,Broadcast time
2779213998,Mobile television
196227537,Broadcast transmitter
2987586235,Multimedia broadcasting
68163228,Radio Data System
2991920864,Community radio
2988547615,Speech summarization
2777695277,DVB-H
2982719622,Video broadcast
2984608069,Wireless broadcast
159505674,Broadcasting of sports events
2779461089,FM broadcasting
2780698354,Broadcast quality
2778985329,ISDB
2986444337,Near video on demand
2777514068,Broadcast band
2775997990,Narrowcasting
2987442367,Tv viewer
2985711970,Mobile broadcast
2991660179,Broadcast packet
2779742664,Broadcast address
2779056648,International broadcasting
2986347997,Wireless broadcasting
2987043902,Broadcasting algorithms
2779081413,AM stereo
2992202738,Mobile broadcasting
2987005673,Broadcast scheduling
2776313748,Broadcast range
2777452754,TV-Anytime
2781191505,DAB ensemble
2778553611,1seg
